timestamp,precipitation,temperature_2m,relative_humidity_2m,surface_pressure,soil_temperature_0_to_7cm,soil_moisture_0_to_7cm,lat,lon,landslide
2026-06-01 00:00:00,0.3,16.5,89,846.4,17.5,0.384,27.33,88.61,0
2026-06-01 01:00:00,0.1,16.5,85,846.0,16.9,0.385,27.33,88.61,0
2026-06-01 02:00:00,0.2,15.9,85,845.3,16.3,0.385,27.33,88.61,0
2026-06-01 03:00:00,0.0,15.6,83,845.3,15.9,0.385,27.33,88.61,0
2026-06-01 04:00:00,0.0,14.8,85,845.0,15.4,0.385,27.33,88.61,0
2026-06-01 05:00:00,0.0,16.8,95,846.8,15.8,0.384,27.33,88.61,0
2026-06-01 06:00:00,0.0,18.0,97,847.5,17.0,0.383,27.33,88.61,0
2026-06-01 07:00:00,0.0,20.1,88,849.0,18.3,0.383,27.33,88.61,0
2026-06-01 08:00:00,0.0,22.7,68,850.3,19.7,0.382,27.33,88.61,0
2026-06-01 09:00:00,0.0,24.2,59,850.5,20.8,0.38,27.33,88.61,0
2026-06-01 10:00:00,0.0,25.4,54,850.5,21.9,0.378,27.33,88.61,0
2026-06-01 11:00:00,0.1,25.1,55,850.4,22.7,0.385,27.33,88.61,0
2026-06-01 12:00:00,0.0,25.6,54,849.8,23.3,0.382,27.33,88.61,0
2026-06-01 13:00:00,0.0,24.9,56,849.0,23.5,0.381,27.33,88.61,0
2026-06-01 14:00:00,0.2,24.5,59,848.1,23.5,0.38,27.33,88.61,0
2026-06-01 15:00:00,0.1,24.0,62,847.4,23.3,0.379,27.33,88.61,0
2026-06-01 16:00:00,0.1,22.7,67,847.2,22.9,0.378,27.33,88.61,0
2026-06-01 17:00:00,0.1,19.1,96,847.2,22.6,0.381,27.33,88.61,0
2026-06-01 18:00:00,0.4,19.0,95,847.2,21.0,0.384,27.33,88.61,0
2026-06-01 19:00:00,0.1,18.6,93,847.1,19.5,0.384,27.33,88.61,0
2026-06-01 20:00:00,0.0,18.1,94,847.5,18.4,0.384,27.33,88.61,0
2026-06-01 21:00:00,0.0,17.6,96,847.6,17.5,0.383,27.33,88.61,0
2026-06-01 22:00:00,0.0,17.2,92,847.4,16.8,0.383,27.33,88.61,0
2026-06-01 23:00:00,0.0,17.2,90,847.2,16.5,0.381,27.33,88.61,0
2026-06-02 00:00:00,0.0,16.0,88,846.2,16.1,0.38,27.33,88.61,1
2026-06-02 01:00:00,0.0,15.8,83,845.4,15.7,0.38,27.33,88.61,1
2026-06-02 02:00:00,0.0,15.5,80,844.9,15.3,0.38,27.33,88.61,1
2026-06-02 03:00:00,0.2,14.5,82,844.3,14.9,0.382,27.33,88.61,1
2026-06-02 04:00:00,1.0,13.7,87,844.0,14.6,0.39,27.33,88.61,1
2026-06-02 05:00:00,1.8,16.6,87,846.1,15.6,0.375,27.33,88.61,1
2026-06-02 06:00:00,0.0,17.4,99,846.6,16.9,0.375,27.33,88.61,1
2026-06-02 07:00:00,0.0,20.0,90,847.8,18.3,0.374,27.33,88.61,1
2026-06-02 08:00:00,0.0,22.4,72,849.0,19.7,0.374,27.33,88.61,1
2026-06-02 09:00:00,0.0,24.1,61,849.3,21.0,0.372,27.33,88.61,1
2026-06-02 10:00:00,0.0,25.4,55,849.1,22.1,0.371,27.33,88.61,1
2026-06-02 11:00:00,0.0,25.8,53,849.0,23.1,0.382,27.33,88.61,1
2026-06-02 12:00:00,0.2,26.2,51,848.3,23.8,0.38,27.33,88.61,1
2026-06-02 13:00:00,0.3,26.0,53,847.1,24.1,0.379,27.33,88.61,1
2026-06-02 14:00:00,0.5,25.0,58,846.2,24.1,0.38,27.33,88.61,1
