timestamp,precipitation,temperature_2m,relative_humidity_2m,surface_pressure,wind_speed_10m,rain_1h,rain_3h,rain_6h,rain_12h,rain_24h,rain_48h,rain_72h,high_intensity_1h,high_accumulation_24h,high_accumulation_72h
2026-09-08 00:00:00,0.1,18.4,91,846.4,0.4,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0
2026-09-08 01:00:00,0.1,18.2,92,845.9,0.6,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0,0,0
2026-09-08 02:00:00,0.2,18.2,92,845.6,0.6,0.2,0.4,0.4,0.4,0.4,0.4,0.4,0,0,0
2026-09-08 03:00:00,0.3,18.2,92,845.3,0.5,0.3,0.6000000000000001,0.7,0.7,0.7,0.7,0.7,0,0,0
2026-09-08 04:00:00,0.3,18.0,92,845.1,0.9,0.3,0.7999999999999999,1.0,1.0,1.0,1.0,1.0,0,0,0
2026-09-08 05:00:00,0.2,18.1,93,846.4,0.8,0.2,0.8,1.2,1.2,1.2,1.2,1.2,0,0,0
2026-09-08 06:00:00,0.1,18.4,98,846.5,1.5,0.1,0.6,1.2,1.3,1.3,1.3,1.3,0,0,0
2026-09-08 07:00:00,0.0,19.7,94,847.7,2.3,0.0,0.30000000000000004,1.1,1.3,1.3,1.3,1.3,0,0,0
2026-09-08 08:00:00,0.0,21.4,85,848.3,3.4,0.0,0.1,0.9,1.3,1.3,1.3,1.3,0,0,0
2026-09-08 09:00:00,0.0,22.7,76,848.9,5.5,0.0,0.0,0.6000000000000001,1.3,1.3,1.3,1.3,0,0,0
2026-09-08 10:00:00,0.0,23.8,68,849.0,3.7,0.0,0.0,0.30000000000000004,1.3,1.3,1.3,1.3,0,0,0
2026-09-08 11:00:00,0.0,25.0,63,848.9,4.9,0.0,0.0,0.1,1.3,1.3,1.3,1.3,0,0,0
2026-09-08 12:00:00,0.1,24.4,65,847.7,6.4,0.1,0.1,0.1,1.2999999999999998,1.4,1.4,1.4,0,0,0
2026-09-08 13:00:00,0.5,24.5,67,846.5,4.2,0.5,0.6,0.6,1.7000000000000002,1.9,1.9,1.9,0,0,0
2026-09-08 14:00:00,0.4,23.1,76,845.6,5.8,0.4,1.0,1.0,1.9,2.3,2.3,2.3,0,0,0
2026-09-08 15:00:00,0.4,21.0,87,845.0,1.9,0.4,1.3,1.4,2.0,2.7,2.7,2.7,0,0,0
2026-09-08 16:00:00,0.7,20.5,91,844.5,0.7,0.7,1.5,2.1,2.4,3.4,3.4,3.4,0,0,0
2026-09-08 17:00:00,0.2,20.0,95,844.9,0.4,0.2,1.3,2.3,2.4,3.6,3.6,3.6,0,0,0
2026-09-08 18:00:00,0.2,18.9,98,845.1,0.3,0.2,1.1,2.4,2.5,3.8,3.8,3.8,0,0,0
2026-09-08 19:00:00,0.2,18.2,99,846.0,1.9,0.2,0.6000000000000001,2.1,2.7,4.0,4.0,4.0,0,0,0
2026-09-08 20:00:00,0.3,18.9,95,847.1,0.7,0.3,0.7,2.0,3.0,4.3,4.3,4.3,0,0,0
2026-09-08 21:00:00,0.3,18.2,98,847.2,0.2,0.3,0.8,1.9000000000000001,3.3000000000000003,4.6,4.6,4.6,0,0,0
2026-09-08 22:00:00,0.4,18.2,98,847.1,0.2,0.4,1.0,1.6,3.7,5.0,5.0,5.0,0,0,0
2026-09-08 23:00:00,0.3,19.3,89,846.9,1.5,0.3,1.0,1.7,4.0,5.3,5.3,5.3,0,0,0
